Tournament ID,Tournament City,Surface,draw_size,Tournament Level,Tournament Date,year,Latitude,Longitude,Level Weight,Month Name,Month Number,Draw Weight,Draw Size
2023-9900,Brisbane,Hard,18,Tour Event,2023-01-02,2023,-27.4689623,153.0235009,3,January,1,18,18 Draw
2023-9900,Sydney,Hard,18,Tour Event,2023-01-02,2023,-33.8698439,151.2082848,3,January,1,18,18 Draw
2023-9900,Perth,Hard,18,Tour Event,2023-01-02,2023,-31.9558967,115.8605784,3,January,1,18,18 Draw
2023-2843,Adelaide,Hard,32,Tour Event,2023-01-02,2023,-34.9281805,138.5999312,3,January,1,32,32 Draw
2023-0891,Pune,Hard,32,Tour Event,2023-01-02,2023,18.5213738,73.8545071,3,January,1,32,32 Draw
2023-0301,Auckland,Hard,32,Tour Event,2023-01-09,2023,-36.852095,174.7631803,3,January,1,32,32 Draw
2023-8998,Adelaide,Hard,32,Tour Event,2023-01-09,2023,-34.9281805,138.5999312,3,January,1,32,32 Draw
2023-580,Melbourne,Hard,128,Grand Slam,2023-01-16,2023,-37.8142454,144.9631732,6,January,1,128,128 Draw
2023-9158,"Cordoba, Argentina",Clay,32,Tour Event,2023-02-06,2023,-31.4166867,-64.1834193,3,February,2,32,32 Draw
2023-0424,Dallas,Hard,32,Tour Event,2023-02-06,2023,32.7762719,-96.7968559,3,February,2,32,32 Draw
2023-0375,Montpellier,Hard,32,Tour Event,2023-02-06,2023,43.6112422,3.8767337,3,February,2,32,32 Draw
2023-0499,Delray Beach,Hard,32,Tour Event,2023-02-13,2023,26.4614625,-80.0728201,3,February,2,32,32 Draw
2023-0506,Buenos Aires,Clay,32,Tour Event,2023-02-13,2023,-34.6095579,-58.3887904,3,February,2,32,32 Draw
2023-0407,Rotterdam,Hard,32,Tour Event,2023-02-13,2023,51.9244424,4.47775,3,February,2,32,32 Draw
2023-0451,Doha,Hard,32,Tour Event,2023-02-20,2023,25.3108807,51.5081812,3,February,2,32,32 Draw
2023-6932,Rio De Janeiro,Clay,32,Tour Event,2023-02-20,2023,-22.9110137,-43.2093727,3,February,2,32,32 Draw
2023-0496,Marseille,Hard,32,Tour Event,2023-02-20,2023,43.2963986,5.3777888,3,February,2,32,32 Draw
2023-0807,Acapulco,Hard,32,Tour Event,2023-02-27,2023,16.8680495,-99.8940182,3,February,2,32,32 Draw
2023-0495,Dubai,Hard,32,Tour Event,2023-02-27,2023,25.0742823,55.1885387,3,February,2,32,32 Draw
2023-8996,"Santiago, Chile",Clay,32,Tour Event,2023-02-27,2023,-33.4376995,-70.6510671,3,February,2,32,32 Draw
2023-0404,Indian Wells,Hard,128,Masters,2023-03-06,2023,33.7217965,-116.338303,4,March,3,128,128 Draw
2023-0403,Miami,Hard,128,Masters,2023-03-20,2023,25.7741566,-80.1935973,4,March,3,128,128 Draw
2023-7290,Estoril,Clay,32,Tour Event,2023-04-03,2023,38.7095707,-9.3901368,3,April,4,32,32 Draw
2023-0717,Houston,Clay,32,Tour Event,2023-04-03,2023,29.7589382,-95.3676974,3,April,4,32,32 Draw
2023-0360,Marrakech,Clay,32,Tour Event,2023-04-03,2023,31.6258257,-7.9891608,3,April,4,32,32 Draw
2023-0410,Monte Carlo,Clay,64,Masters,2023-04-10,2023,43.7402961,7.426559,4,April,4,64,64 Draw
2023-0425,Barcelona,Clay,64,Tour Event,2023-04-17,2023,41.3825802,2.177073,3,April,4,64,64 Draw
2023-0308,Munich,Clay,32,Tour Event,2023-04-17,2023,48.1371079,11.5753822,3,April,4,32,32 Draw
2023-2841,Banja Luka,Clay,32,Tour Event,2023-04-17,2023,44.7720845,17.1917651,3,April,4,32,32 Draw
2023-1536,Madrid,Clay,128,Masters,2023-04-24,2023,40.416782,-3.703507,4,April,4,128,128 Draw
2023-0416,Rome,Clay,128,Masters,2023-05-08,2023,41.8933203,12.4829321,4,May,5,128,128 Draw
2023-0322,Geneva,Clay,32,Tour Event,2023-05-22,2023,46.2017559,6.1466014,3,May,5,32,32 Draw
2023-7694,Lyon,Clay,32,Tour Event,2023-05-22,2023,45.7578137,4.8320114,3,May,5,32,32 Draw
2023-520,Paris,Clay,128,Grand Slam,2023-05-29,2023,48.8534951,2.3483915,6,May,5,128,128 Draw
2023-0440,s Hertogenbosch,Grass,32,Tour Event,2023-06-12,2023,51.6889387,5.303116,3,June,6,32,32 Draw
2023-0321,Stuttgart,Grass,32,Tour Event,2023-06-12,2023,48.7784485,9.1800132,3,June,6,32,32 Draw
2023-0500,Halle,Grass,32,Tour Event,2023-06-19,2023,51.4824354,11.9712985,3,June,6,32,32 Draw
2023-0311,London,Grass,32,Tour Event,2023-06-19,2023,51.5074456,-0.1277653,3,June,6,32,32 Draw
2023-8994,Mallorca,Grass,32,Tour Event,2023-06-26,2023,39.613432,2.8829185,3,June,6,32,32 Draw
2023-0741,Eastbourne,Grass,32,Tour Event,2023-06-26,2023,50.7664372,0.2781546,3,June,6,32,32 Draw
2023-540,Wimbledon,Grass,128,Grand Slam,2023-07-03,2023,51.4214787,-0.2064027,6,July,7,128,128 Draw
2023-0314,Gstaad,Clay,32,Tour Event,2023-07-17,2023,46.4721619,7.288748,3,July,7,32,32 Draw
2023-0316,Bastad,Clay,32,Tour Event,2023-07-17,2023,56.4268963,12.8608789,3,July,7,32,32 Draw
2023-0315,Newport,Grass,32,Tour Event,2023-07-17,2023,41.4899827,-71.3137707,3,July,7,32,32 Draw
2023-6116,Atlanta,Hard,32,Tour Event,2023-07-24,2023,33.7544657,-84.3898151,3,July,7,32,32 Draw
2023-0414,Hamburg,Clay,32,Tour Event,2023-07-24,2023,53.5501721,10.0013165,3,July,7,32,32 Draw
2023-0439,Umag,Clay,32,Tour Event,2023-07-24,2023,45.4323587,13.5224098,3,July,7,32,32 Draw
2023-0319,Kitzbuhel,Clay,32,Tour Event,2023-07-31,2023,47.4463585,12.3911473,3,July,7,32,32 Draw
2023-7480,"Los Cabos, Baja California Sur, Mexico",Hard,32,Tour Event,2023-07-31,2023,23.2718481,-109.6897684,3,July,7,32,32 Draw
2023-0418,Washington,Hard,64,Tour Event,2023-07-31,2023,38.8950982,-77.0363849,3,July,7,64,64 Draw
2023-0421,Toronto,Hard,64,Masters,2023-08-07,2023,43.6534817,-79.3839347,4,August,8,64,64 Draw
2023-0422,Cincinnati,Hard,64,Masters,2023-08-14,2023,39.1012809,-84.5127405,4,August,8,64,64 Draw
2023-6242,Winston-Salem,Hard,64,Tour Event,2023-08-21,2023,36.0998131,-80.2440518,3,August,8,64,64 Draw
2023-560,New York,Hard,128,Grand Slam,2023-08-28,2023,40.7127281,-74.0060152,6,August,8,128,128 Draw
2023-7581,Chengdu,Hard,32,Tour Event,2023-09-20,2023,30.659867,104.063315,3,September,9,32,32 Draw
2023-9164,Zhuhai,Hard,32,Tour Event,2023-09-20,2023,22.273734,113.5721327,3,September,9,32,32 Draw
2023-9410,Astana,Hard,32,Tour Event,2023-09-25,2023,51.1159933,71.4677059,3,September,9,32,32 Draw
2023-0747,Beijing,Hard,32,Tour Event,2023-09-27,2023,39.9057136,116.3912972,3,September,9,32,32 Draw
2023-5014,Shanghai,Hard,128,Masters,2023-10-02,2023,31.2312707,121.4700152,4,October,10,128,128 Draw
2023-0429,Stockholm,Hard,32,Tour Event,2023-10-16,2023,59.3251172,18.0710935,3,October,10,32,32 Draw
2023-0329,Tokyo,Hard,32,Tour Event,2023-10-16,2023,35.6768601,139.7638947,3,October,10,32,32 Draw
2023-7485,Antwerp,Hard,32,Tour Event,2023-10-16,2023,51.2211097,4.3997081,3,October,10,32,32 Draw
2023-0328,Basel,Hard,32,Tour Event,2023-10-23,2023,47.5581077,7.5878261,3,October,10,32,32 Draw
2023-0337,Vienna,Hard,32,Tour Event,2023-10-23,2023,48.2083537,16.3725042,3,October,10,32,32 Draw
2023-0352,Paris,Hard,64,Masters,2023-10-30,2023,48.8534951,2.3483915,4,October,10,64,64 Draw
2023-0341,Metz,Hard,32,Tour Event,2023-11-06,2023,49.1196964,6.1763552,3,November,11,32,32 Draw
2023-7434,Sofia,Hard,32,Tour Event,2023-11-06,2023,42.6977028,23.3217359,3,November,11,32,32 Draw
2023-0605,Turin,Hard,8,Tour Event,2023-11-13,2023,45.0677551,7.6824892,3,November,11,8,8 Draw
2023-7696,Jeddah,Hard,8,Finals,2023-11-27,2023,21.5504432,39.1742363,5,November,11,8,8 Draw
2024-0339,Brisbane,Hard,32,Tour Event,2024-01-01,2024,-27.4689623,153.0235009,3,January,1,32,32 Draw
2024-9900,Sydney,Hard,18,Tour Event,2024-01-01,2024,-33.8698439,151.2082848,3,January,1,18,18 Draw
2024-9900,Perth,Hard,18,Tour Event,2024-01-01,2024,-31.9558967,115.8605784,3,January,1,18,18 Draw
2024-0336,Hong Kong,Hard,32,Tour Event,2024-01-01,2024,22.3492155,114.1857978,3,January,1,32,32 Draw
2024-8998,Adelaide,Hard,32,Tour Event,2024-01-08,2024,-34.9281805,138.5999312,3,January,1,32,32 Draw
2024-0301,Auckland,Hard,32,Tour Event,2024-01-08,2024,-36.852095,174.7631803,3,January,1,32,32 Draw
2024-580,Melbourne,Hard,128,Grand Slam,2024-01-15,2024,-37.8142454,144.9631732,6,January,1,128,128 Draw
2024-0375,Montpellier,Hard,32,Tour Event,2024-01-29,2024,43.6112422,3.8767337,3,January,1,32,32 Draw
2024-9158,"Cordoba, Argentina",Clay,32,Tour Event,2024-02-05,2024,-31.4166867,-64.1834193,3,February,2,32,32 Draw
2024-0424,Dallas,Hard,32,Tour Event,2024-02-05,2024,32.7762719,-96.7968559,3,February,2,32,32 Draw
2024-0496,Marseille,Hard,32,Tour Event,2024-02-05,2024,43.2963986,5.3777888,3,February,2,32,32 Draw
2024-0499,Delray Beach,Hard,32,Tour Event,2024-02-12,2024,26.4614625,-80.0728201,3,February,2,32,32 Draw
2024-0506,Buenos Aires,Clay,32,Tour Event,2024-02-12,2024,-34.6095579,-58.3887904,3,February,2,32,32 Draw
2024-0407,Rotterdam,Hard,32,Tour Event,2024-02-12,2024,51.9244424,4.47775,3,February,2,32,32 Draw
2024-0451,Doha,Hard,32,Tour Event,2024-02-19,2024,25.3108807,51.5081812,3,February,2,32,32 Draw
2024-7480,"Los Cabos, Baja California Sur, Mexico",Hard,32,Tour Event,2024-02-19,2024,23.2718481,-109.6897684,3,February,2,32,32 Draw
2024-6932,Rio De Janeiro,Clay,32,Tour Event,2024-02-19,2024,-22.9110137,-43.2093727,3,February,2,32,32 Draw
2024-0807,Acapulco,Hard,32,Tour Event,2024-02-26,2024,16.8680495,-99.8940182,3,February,2,32,32 Draw
2024-0495,Dubai,Hard,32,Tour Event,2024-02-26,2024,25.0742823,55.1885387,3,February,2,32,32 Draw
2024-8996,"Santiago, Chile",Clay,32,Tour Event,2024-02-26,2024,-33.4376995,-70.6510671,3,February,2,32,32 Draw
2024-0404,Indian Wells,Hard,128,Masters,2024-03-04,2024,33.7217965,-116.338303,4,March,3,128,128 Draw
2024-0403,Miami,Hard,128,Masters,2024-03-18,2024,25.7741566,-80.1935973,4,March,3,128,128 Draw
2024-7290,Estoril,Clay,32,Tour Event,2024-04-01,2024,38.7095707,-9.3901368,3,April,4,32,32 Draw
2024-0717,Houston,Clay,32,Tour Event,2024-04-01,2024,29.7589382,-95.3676974,3,April,4,32,32 Draw
2024-0360,Marrakech,Clay,32,Tour Event,2024-04-01,2024,31.6258257,-7.9891608,3,April,4,32,32 Draw
2024-0410,Monte Carlo,Clay,64,Masters,2024-04-08,2024,43.7402961,7.426559,4,April,4,64,64 Draw
2024-0425,Barcelona,Clay,64,Tour Event,2024-04-15,2024,41.3825802,2.177073,3,April,4,64,64 Draw
2024-0308,Munich,Clay,32,Tour Event,2024-04-15,2024,48.1371079,11.5753822,3,April,4,32,32 Draw
2024-4462,Bucharest,Clay,32,Tour Event,2024-04-15,2024,44.4361414,26.102684,3,April,4,32,32 Draw
2024-1536,Madrid,Clay,128,Masters,2024-04-22,2024,40.416782,-3.703507,4,April,4,128,128 Draw
2024-0416,Rome,Clay,128,Masters,2024-05-06,2024,41.8933203,12.4829321,4,May,5,128,128 Draw
2024-0322,Geneva,Clay,32,Tour Event,2024-05-20,2024,46.2017559,6.1466014,3,May,5,32,32 Draw
2024-7694,Lyon,Clay,32,Tour Event,2024-05-20,2024,45.7578137,4.8320114,3,May,5,32,32 Draw
2024-520,Paris,Clay,128,Grand Slam,2024-05-27,2024,48.8534951,2.3483915,6,May,5,128,128 Draw
2024-0440,s Hertogenbosch,Grass,32,Tour Event,2024-06-10,2024,51.6889387,5.303116,3,June,6,32,32 Draw
2024-0321,Stuttgart,Grass,32,Tour Event,2024-06-10,2024,48.7784485,9.1800132,3,June,6,32,32 Draw
2024-0500,Halle,Grass,32,Tour Event,2024-06-17,2024,51.4824354,11.9712985,3,June,6,32,32 Draw
2024-0311,London,Grass,32,Tour Event,2024-06-17,2024,51.5074456,-0.1277653,3,June,6,32,32 Draw
2024-8994,Mallorca,Grass,32,Tour Event,2024-06-24,2024,39.613432,2.8829185,3,June,6,32,32 Draw
2024-0741,Eastbourne,Grass,32,Tour Event,2024-06-24,2024,50.7664372,0.2781546,3,June,6,32,32 Draw
2024-540,Wimbledon,Grass,128,Grand Slam,2024-07-01,2024,51.4214787,-0.2064027,6,July,7,128,128 Draw
2024-0314,Gstaad,Clay,32,Tour Event,2024-07-15,2024,46.4721619,7.288748,3,July,7,32,32 Draw
2024-0414,Hamburg,Clay,32,Tour Event,2024-07-15,2024,53.5501721,10.0013165,3,July,7,32,32 Draw
2024-0316,Bastad,Clay,32,Tour Event,2024-07-15,2024,56.4268963,12.8608789,3,July,7,32,32 Draw
2024-0315,Newport,Grass,32,Tour Event,2024-07-15,2024,41.4899827,-71.3137707,3,July,7,32,32 Draw
2024-6116,Atlanta,Hard,32,Tour Event,2024-07-22,2024,33.7544657,-84.3898151,3,July,7,32,32 Draw
2024-0319,Kitzbuhel,Clay,32,Tour Event,2024-07-22,2024,47.4463585,12.3911473,3,July,7,32,32 Draw
2024-0439,Umag,Clay,32,Tour Event,2024-07-22,2024,45.4323587,13.5224098,3,July,7,32,32 Draw
2024-0418,Washington,Hard,64,Tour Event,2024-07-29,2024,38.8950982,-77.0363849,3,July,7,64,64 Draw
2024-0096,Paris,Clay,64,Futures,2024-07-29,2024,48.8534951,2.3483915,1,July,7,64,64 Draw
2024-0421,Montreal,Hard,64,Masters,2024-08-05,2024,45.5031824,-73.5698065,4,August,8,64,64 Draw
2024-0422,Cincinnati,Hard,64,Masters,2024-08-12,2024,39.1012809,-84.5127405,4,August,8,64,64 Draw
2024-6242,Winston-Salem,Hard,64,Tour Event,2024-08-19,2024,36.0998131,-80.2440518,3,August,8,64,64 Draw
2024-560,New York,Hard,128,Grand Slam,2024-08-26,2024,40.7127281,-74.0060152,6,August,8,128,128 Draw
2024-7581,Chengdu,Hard,28,Tour Event,2024-09-18,2024,30.659867,104.063315,3,September,9,28,28 Draw
2024-4713,Hangzhou,Hard,28,Tour Event,2024-09-18,2024,30.2489634,120.2052342,3,September,9,28,28 Draw
2024-0329,Tokyo,Hard,32,Tour Event,2024-09-25,2024,35.6768601,139.7638947,3,September,9,32,32 Draw
2024-0747,Beijing,Hard,32,Tour Event,2024-09-26,2024,39.9057136,116.3912972,3,September,9,32,32 Draw
2024-5014,Shanghai,Hard,96,Masters,2024-10-02,2024,31.2312707,121.4700152,4,October,10,96,96 Draw
2024-9410,Almaty,Hard,28,Tour Event,2024-10-14,2024,43.2363924,76.9457275,3,October,10,28,28 Draw
2024-7485,Antwerp,Hard,28,Tour Event,2024-10-14,2024,51.2211097,4.3997081,3,October,10,28,28 Draw
2024-0429,Stockholm,Hard,28,Tour Event,2024-10-14,2024,59.3251172,18.0710935,3,October,10,28,28 Draw
2024-0328,Basel,Hard,32,Tour Event,2024-10-21,2024,47.5581077,7.5878261,3,October,10,32,32 Draw
2024-0337,Vienna,Hard,32,Tour Event,2024-10-21,2024,48.2083537,16.3725042,3,October,10,32,32 Draw
