tourney_name,latitude,longitude
Brisbane,-27.4689623,153.0235009
Sydney,-33.8698439,151.2082848
Perth,-31.9558967,115.8605784
Adelaide 1,-34.8194586,138.5047494
Pune,18.5213738,73.8545071
Auckland,-36.852095,174.7631803
Adelaide 2,-34.9528738,138.5061022
Melbourne,-37.8142454,144.9631732
"Cordoba, Argentina",-31.4166867,-64.1834193
Dallas,32.7762719,-96.7968559
Montpellier,43.6112422,3.8767337
Delray Beach,26.4614625,-80.0728201
Buenos Aires,-34.6095579,-58.3887904
Rotterdam,51.9244424,4.47775
Doha,25.3108807,51.5081812
Rio De Janeiro,-22.9110137,-43.2093727
Marseille,43.2963986,5.3777888
Acapulco,16.8680495,-99.8940182
Dubai,25.0742823,55.1885387
"Santiago, Chile",-33.4376995,-70.6510671
Indian Wells,33.7217965,-116.338303
Miami,25.7741566,-80.1935973
Estoril,38.7095707,-9.3901368
Houston,29.7589382,-95.3676974
Marrakech,31.6258257,-7.9891608
Monte Carlo,43.7402961,7.426559
Barcelona,41.3825802,2.177073
Munich,48.1371079,11.5753822
Banja Luka,44.7720845,17.1917651
Madrid,40.416782,-3.703507
Rome,41.8933203,12.4829321
Geneva,46.2017559,6.1466014
Lyon,45.7578137,4.8320114
Paris,48.8588897,2.320041
s Hertogenbosch,51.6889387,5.303116
Stuttgart,48.7784485,9.1800132
Halle,51.4824354,11.9712985
London,51.5074456,-0.1277653
Mallorca,39.613432,2.8829185
Eastbourne,50.7664372,0.2781546
Wimbledon,51.4214787,-0.2064027
Gstaad,46.4721619,7.288748
Bastad,56.4268963,12.8608789
Newport,41.4899827,-71.3137707
Atlanta,33.7544657,-84.3898151
Hamburg,53.5501721,10.0013165
Umag,45.4323587,13.5224098
Kitzbuhel,47.4463585,12.3911473
"Los Cabos, Mexico",21.166121,-100.936442
Washington,38.8950982,-77.0363849
Toronto,43.6534817,-79.3839347
Cincinnati,39.1012809,-84.5127405
Winston-Salem,36.0998131,-80.2440518
New York,40.7127281,-74.0060152
Chengdu,30.659867,104.063315
Zhuhai,22.273734,113.5721327
Astana,51.1282205,71.4306682
Beijing,39.9057136,116.3912972
Shanghai,31.2312707,121.4700152
Stockholm,59.3251172,18.0710935
Tokyo,35.6768601,139.7638947
Antwerp,51.2211097,4.3997081
Basel,47.5581077,7.5878261
Vienna,48.2083537,16.3725042
Metz,49.1196964,6.1763552
Sofia,42.6977028,23.3217359
Turin,45.0677551,7.6824892
Jeddah,21.5504432,39.1742363
