tourney_name,latitude,longitude,tourney_date
Brisbane,-27.4689623,153.0235009,2023
Sydney,-33.8698439,151.2082848,2023
Perth,-31.9558967,115.8605784,2023
Adelaide 1,-34.8194586,138.5047494,2023
Pune,18.5213738,73.8545071,2023
Auckland,-36.852095,174.7631803,2023
Adelaide 2,-34.9528738,138.5061022,2023
Melbourne,-37.8142454,144.9631732,2023
"Cordoba, Argentina",-31.4166867,-64.1834193,2023
Dallas,32.7762719,-96.7968559,2023
Montpellier,43.6112422,3.8767337,2023
Delray Beach,26.4614625,-80.0728201,2023
Buenos Aires,-34.6095579,-58.3887904,2023
Rotterdam,51.9244424,4.47775,2023
Doha,25.3108807,51.5081812,2023
Rio De Janeiro,-22.9110137,-43.2093727,2023
Marseille,43.2963986,5.3777888,2023
Acapulco,16.8680495,-99.8940182,2023
Dubai,25.0742823,55.1885387,2023
"Santiago, Chile",-33.4376995,-70.6510671,2023
Indian Wells,33.7217965,-116.338303,2023
Miami,25.7741566,-80.1935973,2023
Estoril,38.7095707,-9.3901368,2023
Houston,29.7589382,-95.3676974,2023
Marrakech,31.6258257,-7.9891608,2023
Monte Carlo,43.7402961,7.426559,2023
Barcelona,41.3825802,2.177073,2023
Munich,48.1371079,11.5753822,2023
Banja Luka,44.7720845,17.1917651,2023
Madrid,40.416782,-3.703507,2023
Rome,41.8933203,12.4829321,2023
Geneva,46.2017559,6.1466014,2023
Lyon,45.7578137,4.8320114,2023
Paris,48.8588897,2.320041,2023
s Hertogenbosch,51.6889387,5.303116,2023
Stuttgart,48.7784485,9.1800132,2023
Halle,51.4824354,11.9712985,2023
London,51.5074456,-0.1277653,2023
Mallorca,39.613432,2.8829185,2023
Eastbourne,50.7664372,0.2781546,2023
Wimbledon,51.4214787,-0.2064027,2023
Gstaad,46.4721619,7.288748,2023
Bastad,56.4268963,12.8608789,2023
Newport,41.4899827,-71.3137707,2023
Atlanta,33.7544657,-84.3898151,2023
Hamburg,53.5501721,10.0013165,2023
Umag,45.4323587,13.5224098,2023
Kitzbuhel,47.4463585,12.3911473,2023
"Los Cabos, Mexico",21.166121,-100.936442,2023
Washington,38.8950982,-77.0363849,2023
Toronto,43.6534817,-79.3839347,2023
Cincinnati,39.1012809,-84.5127405,2023
Winston-Salem,36.0998131,-80.2440518,2023
New York,40.7127281,-74.0060152,2023
Chengdu,30.659867,104.063315,2023
Zhuhai,22.273734,113.5721327,2023
Astana,51.1282205,71.4306682,2023
Beijing,39.9057136,116.3912972,2023
Shanghai,31.2312707,121.4700152,2023
Stockholm,59.3251172,18.0710935,2023
Tokyo,35.6768601,139.7638947,2023
Antwerp,51.2211097,4.3997081,2023
Basel,47.5581077,7.5878261,2023
Vienna,48.2083537,16.3725042,2023
Metz,49.1196964,6.1763552,2023
Sofia,42.6977028,23.3217359,2023
Turin,45.0677551,7.6824892,2023
Jeddah,21.5504432,39.1742363,2023
