tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points
2025-M-ITF-JAM-2025-001,M15 Kingston,Hard,32,15,20250106,108,209142,,,Sebastian Gima,L,,ROU,22.6,208844,,,Keshav Chopra,R,183,USA,23.2,7-5 6-4,3,R32,177,3,5,78,37,25,25,11,4,5,3,5,100,53,35,21,11,21,24,639,49,1224,7
2025-M-ITF-JAM-2025-001,M15 Kingston,Hard,32,15,20250106,103,202297,,,Dan Martin,U,,CAN,25.6,111568,,,Michael Zhu,R,175,USA,32.4,6-3 5-7 6-2,3,R32,145,9,2,86,54,38,18,15,4,7,2,4,99,57,31,24,14,9,14,,,858,23
2025-M-ITF-JAM-2025-001,M15 Kingston,Hard,32,15,20250106,101,212251,,,Daniel Milavsky,U,,USA,23.3,209416,,,Juan Carlos Aguilar,R,168,CAN,26.1,6-4 6-4,3,R32,106,3,4,63,34,23,16,10,4,7,0,2,53,34,22,6,10,0,5,935,17,556,63
2025-M-ITF-JAM-2025-001,M15 Kingston,Hard,32,15,20250106,105,208386,,,Matt Kuhar,R,178,USA,28.5,207657,,,Tristan Mccormick,R,196,USA,25.7,7-5 6-4,3,R32,112,5,3,64,40,31,12,11,2,4,8,6,65,35,23,13,11,1,5,944,17,614,54
2025-M-ITF-JAM-2025-001,M15 Kingston,Hard,32,15,20250106,112,212202,,,Alvin Nicholas Tudorica,U,,CAN,22.8,212259,,,Benjamin Thomas George,L,178,CAN,22.0,4-6 6-1 6-3,3,R32,156,1,3,83,49,32,21,13,5,7,0,9,85,51,32,14,13,10,15,637,49,960,16
2025-M-ITF-JAM-2025-001,M15 Kingston,Hard,32,15,20250106,113,208297,,,Maxwell Mckennon,L,193,USA,22.6,213060,,,Adam Lynch,U,,USA,,6-1 6-2,3,R32,72,4,3,45,29,25,9,8,1,1,0,5,41,25,13,5,7,1,5,683,43,,
2025-M-ITF-JAM-2025-001,M15 Kingston,Hard,32,15,20250106,115,208649,,,Andrew Fenty,R,193,USA,24.8,213376,,,Jeffrey Fradkin,U,,USA,23.1,6-3 6-4,3,R32,140,0,1,64,42,32,10,9,2,3,3,8,76,40,26,14,10,5,9,964,16,,
2025-M-ITF-JAM-2025-001,M15 Kingston,Hard,32,15,20250106,102,105985,,,Darian King,R,188,BAR,32.6,210476,,,Enmanuel Munoz,U,,DOM,19.9,6-3 6-1,3,R32,,0,3,51,37,24,5,8,4,6,0,1,44,34,14,4,8,0,6,,,,
2025-M-ITF-JAM-2025-001,M15 Kingston,Hard,32,15,20250106,107,213591,,,Billy Suarez,U,,USA,,209847,,,Dorian Tremblay,U,,FRA,22.8,6-1 6-1,3,R32,75,31,17,48,16,16,15,7,2,2,18,24,42,8,8,10,7,2,7,1641,2,1632,2
2025-M-ITF-JAM-2025-001,M15 Kingston,Hard,32,15,20250106,116,211346,,,Andres Martin,R,183,USA,23.5,208336,,,Timothy Phung,U,,USA,21.3,7-5 0-4,3,R32,123,5,2,63,34,22,19,11,2,4,0,9,74,42,29,11,11,4,8,586,58,,
2025-M-ITF-JAM-2025-001,M15 Kingston,Hard,32,15,20250106,106,209124,,,Blu Baker,R,191,GBR,23.3,202120,,,Rowland Phillips,R,,JAM,30.9,7-5 6-2,3,R32,117,2,1,59,41,31,11,10,3,3,3,2,76,53,32,12,10,7,10,,,,
2025-M-ITF-JAM-2025-001,M15 Kingston,Hard,32,15,20250106,110,132018,,,Drew Van Orderlain,R,173,USA,30.5,210675,,,John Chin,U,,JAM,21.3,6-7(4) 7-6(1) 6-1,3,R32,185,73,34,107,51,51,22,16,3,5,69,51,120,45,45,24,15,11,15,1118,10,1664,2
2025-M-ITF-JAM-2025-001,M15 Kingston,Hard,32,15,20250106,114,208039,,,Ronald Hohmann,R,178,USA,23.4,209868,,,Kaipo Marshall,R,,BAR,22.7,6-2 7-6(1),3,R32,96,2,6,63,36,25,16,10,1,3,2,5,72,48,27,11,10,3,7,1494,3,,
2025-M-ITF-JAM-2025-001,M15 Kingston,Hard,32,15,20250106,104,200632,,,Evan Zhu,R,185,USA,26.3,144731,,,Kody Pearson,R,178,AUS,25.4,6-2 6-0,3,R32,78,1,1,47,34,23,9,7,4,4,0,3,36,17,5,8,7,1,6,673,44,1149,9
2025-M-ITF-JAM-2025-001,M15 Kingston,Hard,32,15,20250106,109,211409,,,Guillaume Dalmasso ,U,,FRA,22.2,211733,,,Evan Sharygin,U,,USA,17.4,6-2 6-1,3,R32,,9,0,39,38,32,1,8,0,0,3,1,47,44,20,1,7,2,6,844,24,,
2025-M-ITF-JAM-2025-001,M15 Kingston,Hard,32,15,20250106,111,210291,,,Gabriel Evans,R,178,USA,28.5,211455,,,Oren Vasser,R,180,USA,24.8,6-0 6-4,3,R32,104,2,1,47,28,17,10,8,0,2,1,6,59,33,15,9,8,6,12,1514,3,2114,1
2025-M-ITF-JAM-2025-001,M15 Kingston,Hard,32,15,20250106,204,209142,,,Sebastian Gima,L,,ROU,22.6,213591,,,Billy Suarez,U,,USA,,6-1 6-4,3,R16,98,6,4,54,27,21,15,9,1,3,1,6,63,32,20,9,8,5,10,639,49,1641,2
2025-M-ITF-JAM-2025-001,M15 Kingston,Hard,32,15,20250106,208,208649,,,Andrew Fenty,R,193,USA,24.8,211346,,,Andres Martin,R,183,USA,23.5,7-6(4) 6-4,3,R16,140,2,4,84,51,37,17,11,7,8,3,1,64,39,28,14,11,1,3,964,16,586,58
2025-M-ITF-JAM-2025-001,M15 Kingston,Hard,32,15,20250106,205,211409,,,Guillaume Dalmasso ,U,,FRA,22.2,132018,,,Drew Van Orderlain,R,173,USA,30.5,6-4 6-4,3,R16,92,7,0,54,29,22,13,10,1,3,0,2,60,35,19,13,10,0,4,844,24,1118,10
2025-M-ITF-JAM-2025-001,M15 Kingston,Hard,32,15,20250106,207,208297,,,Maxwell Mckennon,L,193,USA,22.6,208039,,,Ronald Hohmann,R,178,USA,23.4,7-6(5) 6-4,3,R16,133,46,30,76,32,32,14,11,5,8,42,31,74,33,32,10,11,3,7,683,43,1494,3
2025-M-ITF-JAM-2025-001,M15 Kingston,Hard,32,15,20250106,201,212251,,,Daniel Milavsky,U,,USA,23.3,105985,,,Darian King,R,188,BAR,32.6,6-4 7-5,3,R16,122,7,7,92,63,45,9,11,7,9,0,1,57,40,27,8,11,1,5,935,17,,
2025-M-ITF-JAM-2025-001,M15 Kingston,Hard,32,15,20250106,206,210291,,,Gabriel Evans,R,178,USA,28.5,212202,,,Alvin Nicholas Tudorica,U,,CAN,22.8,6-4 6-2,3,R16,102,1,4,61,38,31,8,9,6,8,1,1,64,41,21,9,9,9,14,1514,3,637,49
2025-M-ITF-JAM-2025-001,M15 Kingston,Hard,32,15,20250106,202,202297,,,Dan Martin,U,,CAN,25.6,200632,,,Evan Zhu,R,185,USA,26.3,7-5 2-6 6-4,3,R16,178,1,4,95,63,45,14,15,4,8,0,1,102,74,46,13,15,8,12,,,673,44
2025-M-ITF-JAM-2025-001,M15 Kingston,Hard,32,15,20250106,203,209124,,,Blu Baker,R,191,GBR,23.3,208386,,,Matt Kuhar,R,178,USA,28.5,6-1 6-0,3,R16,77,0,0,32,27,24,1,6,0,0,1,7,61,36,16,9,7,8,14,,,944,17
2025-M-ITF-JAM-2025-001,M15 Kingston,Hard,32,15,20250106,302,209142,,,Sebastian Gima,L,,ROU,22.6,209124,,,Blu Baker,R,191,GBR,23.3,6-0 6-2,3,QF,84,4,3,42,21,16,12,7,2,3,1,7,63,32,14,12,7,8,14,639,49,,
2025-M-ITF-JAM-2025-001,M15 Kingston,Hard,32,15,20250106,304,208649,,,Andrew Fenty,R,193,USA,24.8,208297,,,Maxwell Mckennon,L,193,USA,22.6,7-6(4) 6-2,3,QF,122,6,3,60,36,31,13,10,1,1,5,3,55,32,22,14,10,0,2,964,16,683,43
2025-M-ITF-JAM-2025-001,M15 Kingston,Hard,32,15,20250106,301,212251,,,Daniel Milavsky,U,,USA,23.3,202297,,,Dan Martin,U,,CAN,25.6,6-3 2-6 4-3,3,QF,178,3,7,95,52,38,16,13,13,17,3,0,89,60,38,12,12,5,9,935,17,,
2025-M-ITF-JAM-2025-001,M15 Kingston,Hard,32,15,20250106,303,211409,,,Guillaume Dalmasso ,U,,FRA,22.2,210291,,,Gabriel Evans,R,178,USA,28.5,6-1 6-3,3,QF,92,4,5,49,24,20,13,8,0,1,2,4,62,36,21,7,8,5,10,844,24,1514,3
2025-M-ITF-JAM-2025-001,M15 Kingston,Hard,32,15,20250106,401,212251,,,Daniel Milavsky,U,,USA,23.3,209142,,,Sebastian Gima,L,,ROU,22.6,6-2 6-7(2) 7-6(5),3,SF,220,5,7,128,80,56,20,16,10,14,1,6,123,67,40,29,16,11,17,935,17,639,49
